,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Z_aux[171],0.082,0.529,-0.977,1.079,0.051,0.036,109.0,109.0,110.0,134.0,1.05
Z_aux[172],-0.997,0.655,-2.149,0.307,0.121,0.087,29.0,29.0,29.0,63.0,1.22
Z_aux[173],-0.956,0.643,-2.107,0.301,0.137,0.098,22.0,22.0,22.0,57.0,1.28
Z_aux[174],-0.203,0.627,-1.397,0.929,0.04,0.028,245.0,245.0,245.0,595.0,1.03
Z_aux[175],0.357,0.624,-0.755,1.561,0.109,0.078,33.0,33.0,32.0,117.0,1.18
Z_aux[176],0.139,0.568,-0.903,1.242,0.042,0.029,187.0,187.0,187.0,601.0,1.04
Z_aux[177],-0.224,0.56,-1.232,0.839,0.066,0.047,72.0,72.0,77.0,112.0,1.08
Z_aux[178],-0.092,0.589,-1.24,1.008,0.066,0.047,79.0,79.0,82.0,104.0,1.09
Z_aux[179],0.012,0.508,-0.989,0.943,0.04,0.028,165.0,165.0,166.0,402.0,1.03
Z_aux[180],-0.167,0.594,-1.3,0.924,0.057,0.04,109.0,109.0,112.0,306.0,1.05
Z_aux[181],0.185,0.574,-0.821,1.307,0.081,0.058,50.0,50.0,50.0,245.0,1.11
Z_aux[182],-0.299,0.525,-1.269,0.726,0.051,0.036,107.0,107.0,107.0,185.0,1.07
Z_aux[183],-0.271,0.579,-1.348,0.847,0.065,0.046,79.0,79.0,79.0,187.0,1.1
Z_aux[184],-0.394,0.59,-1.542,0.72,0.054,0.038,119.0,119.0,119.0,387.0,1.08
Z_aux[185],-0.225,0.628,-1.432,0.913,0.05,0.035,159.0,159.0,160.0,392.0,1.04
Z_aux[186],0.075,0.551,-0.934,1.135,0.041,0.029,181.0,181.0,181.0,419.0,1.02
Z_aux[187],0.648,0.631,-0.51,1.841,0.094,0.067,45.0,45.0,44.0,117.0,1.16
Z_aux[188],-0.071,0.624,-1.275,1.03,0.051,0.036,150.0,150.0,150.0,337.0,1.04
Z_aux[189],0.015,0.622,-1.111,1.177,0.071,0.05,77.0,77.0,79.0,489.0,1.09
Z_aux[190],-0.136,0.629,-1.306,1.068,0.046,0.033,187.0,187.0,188.0,319.0,1.04
Z_aux[191],-0.385,0.568,-1.474,0.629,0.052,0.037,120.0,120.0,119.0,316.0,1.04
Z_aux[192],-0.074,0.642,-1.346,1.058,0.067,0.047,92.0,92.0,98.0,147.0,1.09
Z_aux[193],-0.175,0.587,-1.34,0.926,0.042,0.03,193.0,193.0,197.0,313.0,1.03
Z_aux[194],-0.327,0.564,-1.339,0.742,0.056,0.041,100.0,94.0,102.0,147.0,1.07
Z_aux[195],0.552,0.536,-0.473,1.526,0.064,0.045,70.0,70.0,73.0,60.0,1.08
Z_aux[196],0.005,0.579,-0.987,1.118,0.057,0.041,102.0,102.0,100.0,340.0,1.07
Z_aux[197],0.162,0.62,-1.016,1.337,0.059,0.042,111.0,111.0,113.0,194.0,1.05
Z_aux[198],-0.132,0.626,-1.336,0.984,0.075,0.053,70.0,70.0,74.0,227.0,1.11
Z_aux[199],-0.127,0.631,-1.342,1.026,0.051,0.036,154.0,154.0,154.0,308.0,1.03
Z_aux[200],-0.234,0.583,-1.291,0.879,0.044,0.031,179.0,179.0,181.0,425.0,1.03
Z_aux[201],0.169,0.536,-0.832,1.14,0.067,0.048,64.0,64.0,64.0,225.0,1.09
Z_aux[202],-0.246,0.618,-1.407,0.873,0.052,0.037,141.0,141.0,145.0,227.0,1.04
Z_aux[203],-0.726,0.562,-1.703,0.448,0.053,0.037,113.0,113.0,114.0,243.0,1.07
Z_aux[204],-0.275,0.611,-1.426,0.891,0.074,0.052,68.0,68.0,69.0,206.0,1.09
Z_aux[205],-0.201,0.628,-1.376,1.021,0.057,0.041,120.0,120.0,120.0,116.0,1.05
Z_aux[206],0.538,0.549,-0.505,1.541,0.042,0.03,169.0,169.0,170.0,475.0,1.04
Z_aux[207],-0.432,0.604,-1.535,0.674,0.046,0.033,172.0,172.0,172.0,460.0,1.07
Z_aux[208],0.16,0.576,-0.865,1.317,0.079,0.056,53.0,53.0,54.0,104.0,1.11
Z_aux[209],-0.243,0.611,-1.412,0.894,0.051,0.036,142.0,142.0,140.0,401.0,1.06
Z_aux[210],-0.246,0.569,-1.304,0.806,0.039,0.028,212.0,212.0,210.0,304.0,1.03
Z_aux[211],-0.036,0.684,-1.26,1.287,0.112,0.08,37.0,37.0,38.0,136.0,1.18
Z_aux[212],-0.137,0.556,-1.255,0.79,0.078,0.056,50.0,50.0,52.0,273.0,1.11
Z_aux[213],-0.039,0.596,-1.117,1.106,0.057,0.04,110.0,110.0,109.0,263.0,1.06
Z_aux[214],-0.865,0.559,-1.927,0.263,0.081,0.058,47.0,47.0,48.0,124.0,1.15
Z_aux[215],-0.245,0.59,-1.361,0.787,0.089,0.063,44.0,44.0,45.0,87.0,1.14
Z_aux[216],-0.106,0.616,-1.342,0.952,0.076,0.054,66.0,66.0,67.0,243.0,1.08
Z_aux[217],-0.328,0.556,-1.402,0.685,0.056,0.04,99.0,99.0,100.0,251.0,1.07
Z_aux[218],0.089,0.544,-0.904,1.117,0.053,0.037,108.0,108.0,108.0,187.0,1.06
Z_aux[219],-0.699,0.519,-1.709,0.312,0.04,0.028,172.0,172.0,168.0,328.0,1.07
Z_aux[220],0.893,0.586,-0.318,1.954,0.101,0.072,34.0,34.0,35.0,135.0,1.19
Z_aux[221],0.65,0.572,-0.267,1.741,0.103,0.073,31.0,31.0,33.0,126.0,1.18
Z_aux[222],-0.027,0.593,-1.078,1.138,0.082,0.059,52.0,52.0,51.0,180.0,1.11
Z_aux[223],-0.057,0.541,-1.144,1.011,0.04,0.032,181.0,148.0,181.0,298.0,1.07
Z_aux[224],0.163,0.578,-0.905,1.251,0.071,0.051,65.0,65.0,67.0,147.0,1.1
Z_aux[225],0.04,0.515,-0.873,1.035,0.039,0.028,174.0,174.0,175.0,510.0,1.05
Z_aux[226],0.214,0.598,-0.929,1.332,0.086,0.061,48.0,48.0,48.0,115.0,1.15
Z_aux[227],-0.053,0.552,-1.038,1.035,0.038,0.027,212.0,212.0,214.0,589.0,1.04
Z_aux[228],-0.525,0.601,-1.613,0.648,0.055,0.039,121.0,121.0,123.0,305.0,1.06
Z_aux[229],0.073,0.591,-1.078,1.131,0.056,0.04,111.0,111.0,114.0,432.0,1.07
Z_aux[230],-0.195,0.59,-1.326,0.869,0.072,0.051,68.0,68.0,67.0,150.0,1.1
Z_aux[231],-0.075,0.618,-1.179,1.123,0.074,0.053,70.0,70.0,69.0,287.0,1.08
Z_aux[232],5.001,0.455,4.11,5.86,0.069,0.049,44.0,44.0,43.0,216.0,1.13
Z_aux[233],-0.074,0.612,-1.207,1.068,0.074,0.053,68.0,68.0,68.0,163.0,1.1
Z_aux[234],-0.196,0.641,-1.383,1.038,0.126,0.09,26.0,26.0,26.0,78.0,1.23
Z_aux[235],-0.548,0.594,-1.621,0.643,0.098,0.07,36.0,36.0,37.0,68.0,1.16
Z_aux[236],0.112,0.604,-0.978,1.287,0.064,0.046,88.0,88.0,90.0,226.0,1.07
Z_aux[237],0.145,0.591,-1.05,1.118,0.111,0.08,28.0,28.0,31.0,148.0,1.21
Z_aux[238],-0.909,0.694,-2.239,0.406,0.108,0.077,41.0,41.0,40.0,106.0,1.14
Z_aux[239],-0.173,0.632,-1.306,1.014,0.113,0.08,32.0,32.0,32.0,133.0,1.21
Z_aux[240],0.516,0.557,-0.526,1.489,0.097,0.069,33.0,33.0,36.0,242.0,1.17
Z_aux[241],0.197,0.573,-0.891,1.288,0.045,0.037,160.0,120.0,159.0,292.0,1.05
Z_aux[242],-0.717,0.572,-1.855,0.306,0.09,0.064,40.0,40.0,40.0,184.0,1.14
Z_aux[243],0.231,0.602,-0.917,1.339,0.057,0.04,113.0,113.0,111.0,254.0,1.06
Z_aux[244],-0.671,0.563,-1.688,0.403,0.051,0.036,123.0,123.0,124.0,362.0,1.06
Z_aux[245],-0.194,0.598,-1.297,0.931,0.048,0.034,157.0,157.0,158.0,360.0,1.05
Z_aux[246],-0.326,0.639,-1.568,0.861,0.116,0.083,30.0,30.0,31.0,81.0,1.19
Z_aux[247],-0.492,0.596,-1.644,0.594,0.073,0.052,67.0,67.0,68.0,228.0,1.09
Z_aux[248],0.347,0.559,-0.684,1.389,0.098,0.07,33.0,33.0,33.0,232.0,1.18
Z_aux[249],0.026,0.602,-1.222,1.103,0.121,0.087,25.0,25.0,25.0,70.0,1.24
Z_aux[250],-0.089,0.598,-1.247,0.99,0.063,0.045,91.0,91.0,91.0,359.0,1.07
Z_aux[251],0.062,0.585,-0.99,1.162,0.047,0.033,155.0,155.0,152.0,403.0,1.05
Z_aux[252],0.45,0.568,-0.492,1.579,0.088,0.062,42.0,42.0,42.0,73.0,1.14
Z_aux[253],-0.241,0.516,-1.238,0.762,0.038,0.03,186.0,148.0,185.0,371.0,1.07
Z_aux[254],-0.22,0.629,-1.405,0.918,0.071,0.05,79.0,79.0,77.0,344.0,1.08
Z_aux[255],0.163,0.473,-0.7,1.042,0.051,0.036,86.0,86.0,92.0,300.0,1.08
Z_aux[256],0.496,0.55,-0.5,1.568,0.041,0.035,181.0,123.0,183.0,149.0,1.05
Z_aux[257],-0.173,0.652,-1.406,1.027,0.14,0.1,22.0,22.0,22.0,54.0,1.29
Z_aux[258],-0.336,0.591,-1.434,0.721,0.075,0.053,62.0,62.0,64.0,267.0,1.1
Z_aux[259],-0.12,0.585,-1.187,0.968,0.071,0.05,69.0,69.0,70.0,276.0,1.09
Z_aux[260],-0.428,0.669,-1.771,0.793,0.132,0.106,26.0,21.0,28.0,31.0,1.19
Z_aux[261],0.008,0.616,-1.172,1.15,0.064,0.045,92.0,92.0,93.0,195.0,1.07
Z_aux[262],-0.212,0.594,-1.425,0.842,0.096,0.069,38.0,38.0,39.0,64.0,1.15
Z_aux[263],0.314,0.572,-0.706,1.385,0.075,0.053,58.0,58.0,60.0,384.0,1.11
Z_aux[264],-0.098,0.592,-1.195,1.032,0.047,0.033,158.0,158.0,159.0,315.0,1.04
Z_aux[265],0.022,0.553,-1.03,0.977,0.053,0.037,110.0,110.0,102.0,299.0,1.08
Z_aux[266],-0.326,0.584,-1.444,0.676,0.055,0.045,113.0,85.0,116.0,296.0,1.07
Z_aux[267],0.177,0.599,-0.927,1.231,0.052,0.037,132.0,132.0,135.0,548.0,1.05
Z_aux[268],-0.141,0.606,-1.239,1.007,0.07,0.05,74.0,74.0,76.0,131.0,1.08
Z_aux[269],-0.777,0.608,-1.87,0.384,0.095,0.068,41.0,41.0,42.0,266.0,1.17
Z_aux[270],1.3,0.564,0.206,2.323,0.096,0.068,35.0,35.0,35.0,193.0,1.17
Z_aux[271],-0.056,0.594,-1.121,1.074,0.047,0.033,162.0,162.0,162.0,410.0,1.04
Z_aux[272],-0.077,0.587,-1.204,0.922,0.057,0.041,104.0,104.0,107.0,298.0,1.07
Z_aux[273],-0.136,0.518,-1.119,0.819,0.068,0.049,58.0,58.0,57.0,291.0,1.11
Z_aux[274],0.297,0.557,-0.746,1.354,0.055,0.039,104.0,104.0,104.0,318.0,1.06
Z_aux[275],-0.04,0.621,-1.183,1.147,0.055,0.039,125.0,125.0,127.0,203.0,1.07
Z_aux[276],0.186,0.589,-0.918,1.27,0.07,0.05,71.0,71.0,72.0,261.0,1.09
Z_aux[277],-0.058,0.612,-1.229,1.083,0.064,0.045,92.0,92.0,93.0,332.0,1.07
Z_aux[278],-1.223,0.801,-2.778,0.166,0.164,0.117,24.0,24.0,25.0,36.0,1.25
Z_aux[279],-0.157,0.579,-1.061,1.112,0.077,0.055,57.0,57.0,62.0,124.0,1.09
Z_aux[280],0.068,0.662,-1.198,1.263,0.126,0.09,28.0,28.0,28.0,70.0,1.22
Z_aux[281],-0.054,0.614,-1.225,1.144,0.088,0.063,49.0,49.0,48.0,154.0,1.13
Z_aux[282],0.057,0.556,-0.96,1.108,0.045,0.032,151.0,151.0,152.0,295.0,1.03
Z_aux[283],2.602,0.479,1.728,3.523,0.045,0.033,113.0,108.0,117.0,408.0,1.06
Z_aux[284],-0.603,0.61,-1.719,0.602,0.067,0.047,84.0,84.0,83.0,170.0,1.08
Z_aux[285],0.139,0.56,-0.929,1.145,0.086,0.061,42.0,42.0,42.0,138.0,1.15
Z_aux[286],-0.003,0.582,-1.038,1.128,0.099,0.07,35.0,35.0,36.0,81.0,1.16
Z_aux[287],-0.138,0.577,-1.202,0.929,0.085,0.06,46.0,46.0,49.0,80.0,1.11
Z_aux[288],-0.434,0.642,-1.689,0.7,0.072,0.051,79.0,79.0,80.0,79.0,1.07
Z_aux[289],-0.303,0.601,-1.319,0.873,0.081,0.057,56.0,56.0,56.0,397.0,1.1
Z_aux[290],1.031,0.594,-0.015,2.08,0.077,0.055,60.0,60.0,61.0,248.0,1.09
Z_aux[291],0.736,0.51,-0.257,1.712,0.067,0.047,59.0,59.0,58.0,170.0,1.1
Z_aux[292],-0.189,0.544,-1.255,0.793,0.045,0.032,148.0,148.0,146.0,475.0,1.06
Z_aux[293],-1.348,0.586,-2.411,-0.254,0.097,0.072,37.0,34.0,36.0,83.0,1.16
Z_aux[294],0.017,0.549,-0.985,1.027,0.051,0.036,118.0,118.0,125.0,381.0,1.07
Z_aux[295],0.08,0.57,-1.005,1.122,0.05,0.036,129.0,129.0,129.0,387.0,1.05
Z_aux[296],-0.088,0.612,-1.257,1.104,0.077,0.055,63.0,63.0,62.0,83.0,1.1
Z_aux[297],-0.112,0.605,-1.235,1.018,0.101,0.072,36.0,36.0,36.0,163.0,1.15
Z_aux[298],1.052,0.511,0.184,2.165,0.08,0.061,41.0,35.0,42.0,72.0,1.13
Z_aux[299],-0.26,0.854,-1.808,1.467,0.146,0.104,34.0,34.0,34.0,71.0,1.18
Z_aux[300],-0.352,0.656,-1.628,0.827,0.112,0.085,34.0,30.0,36.0,60.0,1.17
Z_aux[301],0.163,0.529,-0.857,1.134,0.068,0.048,61.0,61.0,64.0,298.0,1.09
Z_aux[302],-0.195,0.604,-1.376,1.009,0.143,0.103,18.0,18.0,18.0,26.0,1.35
Z_aux[303],-0.361,0.512,-1.284,0.654,0.052,0.037,98.0,98.0,92.0,202.0,1.08
Z_aux[304],0.586,0.576,-0.48,1.676,0.077,0.055,56.0,56.0,57.0,209.0,1.12
Z_aux[305],0.063,0.548,-1.003,1.062,0.047,0.033,135.0,135.0,135.0,312.0,1.06
Z_aux[306],-0.299,0.631,-1.538,0.808,0.063,0.045,101.0,101.0,105.0,233.0,1.09
Z_aux[307],-0.29,0.58,-1.333,0.814,0.073,0.052,64.0,64.0,63.0,301.0,1.1
Z_aux[308],-0.224,0.738,-1.546,1.126,0.135,0.096,30.0,30.0,31.0,95.0,1.2
Z_aux[309],0.19,0.549,-0.832,1.241,0.068,0.048,65.0,65.0,65.0,208.0,1.08
Z_aux[310],-0.064,0.722,-1.221,1.323,0.157,0.113,21.0,21.0,22.0,105.0,1.28
Z_aux[311],-0.01,0.589,-1.128,1.038,0.104,0.074,32.0,32.0,33.0,64.0,1.17
Z_aux[312],-0.158,0.625,-1.322,0.936,0.1,0.071,39.0,39.0,36.0,239.0,1.16
Z_aux[313],0.085,0.579,-0.962,1.112,0.119,0.085,24.0,24.0,24.0,72.0,1.24
Z_aux[314],-0.009,0.559,-1.038,1.033,0.07,0.05,63.0,63.0,63.0,214.0,1.09
Z_aux[315],0.019,0.575,-1.038,1.136,0.062,0.044,87.0,87.0,87.0,354.0,1.08
Z_aux[316],0.044,0.578,-1.098,1.074,0.059,0.042,96.0,96.0,96.0,365.0,1.08
Z_aux[317],-0.319,0.535,-1.32,0.65,0.06,0.043,79.0,79.0,78.0,257.0,1.1
Z_aux[318],-0.236,0.651,-1.435,0.977,0.113,0.081,33.0,33.0,33.0,128.0,1.18
Z_aux[319],-0.001,0.54,-1.013,1.025,0.036,0.026,223.0,223.0,220.0,483.0,1.04
Z_aux[320],0.032,0.549,-0.952,1.11,0.065,0.046,72.0,72.0,71.0,239.0,1.09
Z_aux[321],0.017,0.562,-1.099,1.061,0.057,0.044,96.0,83.0,96.0,137.0,1.08
Z_aux[322],-0.003,0.578,-1.09,1.079,0.064,0.045,82.0,82.0,81.0,361.0,1.08
Z_aux[323],-0.19,0.599,-1.362,0.879,0.049,0.035,151.0,151.0,150.0,442.0,1.05
Z_aux[324],-0.251,0.546,-1.272,0.738,0.051,0.036,113.0,113.0,114.0,284.0,1.06
Z_aux[325],-0.004,0.468,-0.877,0.841,0.05,0.036,87.0,87.0,89.0,348.0,1.07
Z_aux[326],0.623,0.569,-0.42,1.676,0.046,0.033,152.0,152.0,156.0,389.0,1.05
Z_aux[327],-0.314,0.651,-1.429,0.926,0.096,0.068,46.0,46.0,46.0,74.0,1.12
Z_aux[328],0.265,0.573,-0.869,1.269,0.102,0.073,32.0,32.0,32.0,164.0,1.19
Z_aux[329],-0.295,0.574,-1.353,0.75,0.082,0.058,49.0,49.0,50.0,104.0,1.11
Z_aux[330],-0.602,0.566,-1.625,0.501,0.051,0.036,125.0,125.0,126.0,423.0,1.06
Z_aux[331],-0.363,0.6,-1.496,0.756,0.053,0.038,127.0,125.0,130.0,266.0,1.05
Z_aux[332],-0.364,0.571,-1.465,0.746,0.052,0.037,119.0,119.0,118.0,219.0,1.08
Z_aux[333],-0.182,0.563,-1.242,0.839,0.073,0.052,60.0,60.0,60.0,245.0,1.1
Z_aux[334],0.114,0.644,-1.022,1.405,0.118,0.085,30.0,30.0,29.0,60.0,1.2
Z_aux[335],-0.438,0.653,-1.668,0.669,0.142,0.105,21.0,20.0,22.0,49.0,1.29
Z_aux[336],-0.81,0.756,-2.23,0.614,0.145,0.103,27.0,27.0,27.0,33.0,1.23
Z_aux[337],-0.474,0.696,-1.776,0.9,0.148,0.106,22.0,22.0,22.0,51.0,1.27
Z_aux[338],-0.183,0.67,-1.474,1.102,0.115,0.082,34.0,34.0,35.0,48.0,1.17
Z_aux[339],-0.2,0.617,-1.398,0.896,0.04,0.028,242.0,242.0,242.0,436.0,1.03
Z_aux[340],-0.369,0.579,-1.411,0.657,0.083,0.059,48.0,48.0,49.0,251.0,1.13
Z_aux[341],-0.179,0.61,-1.308,1.03,0.086,0.061,50.0,50.0,50.0,232.0,1.12
Z_aux[342],0.125,0.611,-1.019,1.265,0.088,0.063,48.0,48.0,49.0,213.0,1.11
Z_aux[343],-0.532,0.593,-1.665,0.603,0.067,0.05,78.0,71.0,81.0,146.0,1.09
Z_aux[344],-0.404,0.59,-1.579,0.601,0.054,0.038,121.0,121.0,121.0,363.0,1.06
Z_aux[345],0.085,0.584,-0.99,1.195,0.047,0.033,153.0,153.0,150.0,273.0,1.04
Z_aux[346],-0.175,0.577,-1.234,0.875,0.09,0.064,41.0,41.0,42.0,258.0,1.13
Z_aux[347],-0.128,0.552,-1.181,0.863,0.058,0.041,91.0,91.0,92.0,382.0,1.08
Z_aux[348],0.034,0.678,-1.23,1.304,0.107,0.076,41.0,41.0,41.0,160.0,1.15
Z_aux[349],-0.534,0.544,-1.618,0.515,0.045,0.039,147.0,99.0,147.0,263.0,1.1
Z_aux[350],-0.163,0.588,-1.283,0.955,0.061,0.043,92.0,92.0,91.0,575.0,1.08
Z_aux[351],0.024,0.606,-1.154,1.115,0.084,0.059,53.0,53.0,54.0,243.0,1.1
Z_aux[352],-0.147,0.559,-1.173,0.879,0.059,0.042,89.0,89.0,87.0,383.0,1.07
Z_aux[353],0.076,0.611,-1.07,1.256,0.127,0.091,23.0,23.0,24.0,22.0,1.27
Z_aux[354],-0.139,0.607,-1.288,0.93,0.047,0.033,168.0,168.0,168.0,281.0,1.04
Z_aux[355],0.161,0.58,-0.909,1.204,0.049,0.035,139.0,139.0,135.0,476.0,1.05
Z_aux[356],0.359,0.583,-0.762,1.446,0.057,0.04,105.0,105.0,106.0,266.0,1.06
Z_aux[357],-0.115,0.579,-1.26,0.913,0.095,0.068,37.0,37.0,37.0,165.0,1.17
Z_aux[358],-0.104,0.602,-1.26,1.013,0.076,0.054,63.0,63.0,65.0,107.0,1.09
Z_aux[359],-0.187,0.593,-1.33,0.878,0.093,0.066,41.0,41.0,40.0,251.0,1.15
Z_aux[360],-0.164,0.545,-1.191,0.89,0.04,0.028,189.0,189.0,189.0,323.0,1.05
Z_aux[361],-0.443,0.651,-1.689,0.714,0.106,0.075,38.0,38.0,39.0,80.0,1.16
Z_aux[362],0.204,0.601,-0.945,1.276,0.057,0.04,112.0,112.0,113.0,239.0,1.04
Z_aux[363],0.121,0.557,-0.923,1.185,0.039,0.027,208.0,208.0,208.0,442.0,1.05
Z_aux[364],-0.055,0.634,-1.239,1.145,0.09,0.064,49.0,49.0,51.0,239.0,1.14
Z_aux[365],1.874,0.553,0.787,2.843,0.065,0.046,72.0,72.0,74.0,195.0,1.09
Z_aux[366],-0.189,0.532,-1.218,0.776,0.036,0.025,220.0,220.0,219.0,379.0,1.04
Z_aux[367],-0.097,0.563,-1.272,0.857,0.095,0.068,35.0,35.0,35.0,137.0,1.16
Z_aux[368],-0.107,0.587,-1.081,1.065,0.087,0.062,46.0,46.0,47.0,162.0,1.13
Z_aux[369],-0.692,0.598,-1.789,0.457,0.069,0.049,76.0,76.0,75.0,88.0,1.08
Z_aux[370],-0.249,0.614,-1.42,0.845,0.085,0.06,52.0,52.0,53.0,353.0,1.11
Z_aux[371],-0.152,0.625,-1.312,1.005,0.096,0.069,42.0,42.0,42.0,225.0,1.14
Z_aux[372],-0.201,0.563,-1.304,0.835,0.08,0.057,50.0,50.0,50.0,121.0,1.13
Z_aux[373],-0.46,0.649,-1.795,0.672,0.091,0.065,51.0,51.0,52.0,207.0,1.11
Z_aux[374],-0.157,0.547,-1.169,0.895,0.057,0.04,92.0,92.0,92.0,291.0,1.11
Z_aux[375],-1.321,0.597,-2.449,-0.268,0.106,0.08,32.0,28.0,33.0,224.0,1.19
Z_aux[376],-0.241,0.589,-1.329,0.906,0.044,0.031,175.0,175.0,177.0,328.0,1.03
Z_aux[377],-0.249,0.549,-1.258,0.691,0.057,0.04,94.0,94.0,97.0,303.0,1.08
Z_aux[378],0.171,0.57,-0.863,1.263,0.047,0.034,144.0,144.0,144.0,345.0,1.05
Z_aux[379],-0.429,0.657,-1.58,0.85,0.126,0.09,27.0,27.0,28.0,182.0,1.21
Z_aux[380],-0.357,0.57,-1.42,0.707,0.077,0.055,55.0,55.0,56.0,191.0,1.11
Z_aux[381],-0.09,0.619,-1.247,1.122,0.053,0.037,139.0,139.0,139.0,384.0,1.04
Z_aux[382],-0.137,0.672,-1.363,1.163,0.13,0.093,27.0,27.0,27.0,65.0,1.22
Z_aux[383],-0.014,0.54,-1.109,0.954,0.072,0.051,57.0,57.0,57.0,148.0,1.09
Z_aux[384],-1.169,0.762,-2.475,0.29,0.142,0.102,29.0,29.0,29.0,82.0,1.19
Z_aux[385],-0.161,0.627,-1.378,0.994,0.057,0.04,122.0,122.0,131.0,160.0,1.05
Z_aux[386],-0.339,0.612,-1.506,0.792,0.1,0.071,38.0,38.0,39.0,124.0,1.16
Z_aux[387],0.282,0.588,-0.818,1.402,0.088,0.063,45.0,45.0,45.0,226.0,1.12
Z_aux[388],0.245,0.533,-0.732,1.223,0.041,0.029,171.0,171.0,172.0,414.0,1.03
Z_aux[389],0.322,0.552,-0.657,1.377,0.099,0.071,31.0,31.0,31.0,62.0,1.19
Z_aux[390],0.155,0.604,-1.113,1.263,0.122,0.088,24.0,24.0,25.0,39.0,1.24
Z_aux[391],0.035,0.655,-1.175,1.221,0.092,0.066,50.0,50.0,50.0,285.0,1.11
Z_aux[392],-0.098,0.593,-1.294,0.954,0.107,0.076,31.0,31.0,31.0,203.0,1.2
Z_aux[393],-0.78,0.605,-1.883,0.347,0.079,0.056,59.0,59.0,60.0,227.0,1.1
Z_aux[394],0.001,0.618,-1.143,1.196,0.084,0.06,54.0,54.0,54.0,297.0,1.1
Z_aux[395],0.346,0.602,-0.675,1.642,0.09,0.064,45.0,45.0,47.0,111.0,1.11
Z_aux[396],-0.62,0.554,-1.654,0.448,0.065,0.046,73.0,73.0,74.0,218.0,1.08
Z_aux[397],-0.234,0.549,-1.25,0.832,0.046,0.032,144.0,144.0,145.0,488.0,1.06
Z_aux[398],0.935,0.571,-0.118,2.019,0.039,0.027,219.0,219.0,219.0,465.0,1.03
Z_aux[399],0.331,0.571,-0.667,1.427,0.069,0.049,69.0,69.0,68.0,288.0,1.11
Z_aux[400],-0.095,0.561,-1.165,0.925,0.043,0.03,171.0,171.0,170.0,398.0,1.04
Z_aux[401],-0.07,0.672,-1.32,1.168,0.118,0.084,32.0,32.0,33.0,41.0,1.18
Z_aux[402],-0.306,0.608,-1.437,0.77,0.072,0.051,72.0,72.0,71.0,335.0,1.1
Z_aux[403],-0.196,0.617,-1.302,1.047,0.063,0.045,94.0,94.0,96.0,240.0,1.07
Z_aux[404],0.184,0.576,-0.839,1.262,0.077,0.055,55.0,55.0,56.0,248.0,1.11
Z_aux[405],-0.096,0.56,-1.152,0.937,0.049,0.035,132.0,132.0,133.0,440.0,1.05
Z_aux[406],-0.178,0.606,-1.343,0.968,0.083,0.059,53.0,53.0,55.0,88.0,1.11
Z_aux[407],1.39,0.486,0.491,2.283,0.039,0.028,152.0,152.0,152.0,376.0,1.05
Z_aux[408],0.163,0.568,-0.968,1.23,0.078,0.056,53.0,53.0,52.0,247.0,1.11
Z_aux[409],-0.207,0.574,-1.402,0.807,0.076,0.054,57.0,57.0,56.0,185.0,1.1
Z_aux[410],-0.074,0.613,-1.207,1.042,0.113,0.081,29.0,29.0,29.0,87.0,1.21
Z_aux[411],-0.009,0.586,-1.078,1.062,0.059,0.042,99.0,99.0,99.0,304.0,1.06
Z_aux[412],-0.323,0.6,-1.444,0.694,0.089,0.064,45.0,45.0,45.0,363.0,1.14
Z_aux[413],0.098,0.554,-0.906,1.141,0.05,0.036,122.0,122.0,122.0,253.0,1.04
Z_aux[414],0.273,0.598,-0.899,1.35,0.091,0.064,44.0,44.0,45.0,129.0,1.16
Z_aux[415],0.11,0.46,-0.756,0.999,0.051,0.036,82.0,82.0,82.0,171.0,1.08
Z_aux[416],-0.133,0.596,-1.259,0.967,0.055,0.039,119.0,119.0,119.0,245.0,1.06
Z_aux[417],0.769,0.53,-0.272,1.729,0.057,0.04,88.0,88.0,90.0,234.0,1.09
Z_aux[418],-0.247,0.581,-1.357,0.851,0.04,0.038,216.0,120.0,219.0,378.0,1.06
Z_aux[419],-0.081,0.59,-1.159,1.019,0.046,0.033,165.0,165.0,166.0,316.0,1.03
Z_aux[420],-0.073,0.585,-1.178,1.007,0.078,0.055,57.0,57.0,56.0,255.0,1.11
Z_aux[421],-0.07,0.508,-0.999,0.847,0.052,0.037,95.0,95.0,98.0,499.0,1.07
Z_aux[422],-0.219,0.531,-1.238,0.774,0.031,0.022,296.0,296.0,294.0,593.0,1.02
Z_aux[423],-0.482,0.57,-1.505,0.601,0.052,0.037,121.0,121.0,121.0,148.0,1.07
Z_aux[424],0.277,0.542,-0.732,1.329,0.07,0.05,60.0,60.0,60.0,273.0,1.09
Z_aux[425],0.027,0.589,-1.113,1.122,0.04,0.028,218.0,218.0,219.0,513.0,1.03
Z_aux[426],-0.157,0.672,-1.448,1.164,0.133,0.095,25.0,25.0,26.0,52.0,1.22
Z_aux[427],-0.828,0.528,-1.808,0.219,0.064,0.046,68.0,66.0,67.0,219.0,1.1
Z_aux[428],-0.065,0.595,-1.2,1.012,0.058,0.041,104.0,104.0,108.0,384.0,1.06
Z_aux[429],-0.385,0.618,-1.551,0.79,0.085,0.06,53.0,53.0,53.0,168.0,1.12
