,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Z_aux[802],-0.264,0.607,-1.331,0.82,0.054,0.038,128.0,128.0,128.0,298.0,1.06
Z_aux[803],0.001,0.618,-1.253,1.122,0.086,0.061,52.0,52.0,52.0,189.0,1.11
Z_aux[804],-0.225,0.597,-1.38,0.872,0.053,0.037,129.0,129.0,130.0,199.0,1.04
Z_aux[805],0.604,0.624,-0.59,1.748,0.083,0.059,56.0,56.0,56.0,249.0,1.11
Z_aux[806],0.67,0.548,-0.358,1.702,0.065,0.051,70.0,58.0,70.0,103.0,1.09
Z_aux[807],0.153,0.597,-1.009,1.244,0.063,0.045,89.0,89.0,88.0,405.0,1.07
Z_aux[808],0.147,0.595,-0.959,1.196,0.117,0.084,26.0,26.0,26.0,49.0,1.23
Z_aux[809],0.299,0.527,-0.684,1.272,0.041,0.029,168.0,168.0,173.0,503.0,1.05
Z_aux[810],-0.097,0.606,-1.172,1.004,0.077,0.055,62.0,62.0,63.0,213.0,1.11
Z_aux[811],-0.023,0.592,-1.213,1.015,0.07,0.05,72.0,72.0,72.0,294.0,1.08
Z_aux[812],1.44,0.529,0.465,2.462,0.079,0.059,45.0,41.0,45.0,106.0,1.13
Z_aux[813],-0.029,0.582,-1.068,1.088,0.059,0.042,97.0,97.0,99.0,449.0,1.09
Z_aux[814],-0.155,0.64,-1.315,1.089,0.053,0.037,148.0,148.0,148.0,310.0,1.04
Z_aux[815],-0.04,0.657,-1.316,1.159,0.075,0.053,77.0,77.0,76.0,112.0,1.1
Z_aux[816],0.021,0.545,-1.119,0.991,0.056,0.04,96.0,96.0,94.0,217.0,1.09
Z_aux[817],-0.609,0.536,-1.619,0.331,0.091,0.067,34.0,32.0,36.0,90.0,1.16
Z_aux[818],-0.168,0.626,-1.555,0.915,0.108,0.077,34.0,34.0,37.0,26.0,1.15
Z_aux[819],-0.08,0.621,-1.271,1.048,0.072,0.051,74.0,74.0,76.0,140.0,1.08
Z_aux[820],-0.208,0.684,-1.428,1.143,0.091,0.065,56.0,56.0,55.0,124.0,1.11
Z_aux[821],-0.494,0.624,-1.669,0.715,0.084,0.06,55.0,55.0,54.0,191.0,1.11
Z_aux[822],0.717,0.529,-0.325,1.667,0.037,0.026,210.0,210.0,209.0,436.0,1.02
Z_aux[823],-0.582,0.617,-1.675,0.639,0.06,0.043,105.0,105.0,105.0,190.0,1.07
